ConstructName,SubjectName,QuestionText,AnswerText,MisconceptionText,CorrectAnswerText,MisconceptionID
Use a protractor to measure angles between 0° and 90° ,Measuring Angles,What is the size of angle \( x \) ? ![A protractor with two lines drawn on it. The angle is between 0 and 90 degrees and is labelled x. The protractor is labelled with degrees from 0 to 180 in both clockwise and anticlockwise directions.](),110°,Reads the wrong scale on the protractor when measuring acute angles,55°,921
Identify a unit of volume or capacity,Volume and Capacity Units,"Tom and Katie are discussing units of volume
Tom says litres is a unit of volume
Katie says \( m^{3} \) is a unit of volume
Who is correct?",Neither is correct,Does not recognise litres as a unit of volume,Both Tom and Katie,1520
Simplify an algebraic fraction by factorising both the numerator and denominator,Simplifying Algebraic Fractions,"Simplify the following, if possible
\(
\frac{m^{2}+2 m-3}{m-3}
\)",\( m+3 \),Does not recognise when one part of a fraction is the negative of the other,\( m+1 \),353
Solve length problems involving similar shapes where the missing length is the longer one,Length Scale Factors in Similar Shapes,"These two shapes are similar (not drawn to scale).
What should replace the star? ![Two scalene triangles. The bigger one has sides 9 cm and 7.5 cm. On the smaller triangle, the side corresponding to the 9 cm is 6 cm, and the side corresponding to the 7.5 cm is marked with a star.]()",\( 7.5 \mathrm{~cm} \),Does not understand that similar shapes and enlarged shapes will have the same size angles as the original,\( 5 \mathrm{~cm} \),1281
Calculate the mean from a frequency table,Averages and Range from Frequency Table,"What is the mean shoe size? \begin{tabular}{|c|c|}
\hline Shoe Size \( (\mathrm{s}) \) & Frequency \( (f) \) \\
\hline \( 2 \) & \( 5 \) \\
\hline \( 3 \) & \( 8 \) \\
\hline \( 4 \) & \( 9 \) \\
\hline \( 5 \) & \( 5 \) \\
\hline \( 6 \) & \( 3 \) \\
\hline
\end{tabular}",B \( \quad 4 \),Believes the mean is total frequency divided by sum of categories given,A \( \quad 3.77 \),1522
Convert between cm and m,Length Units,How many metres are there in \( 7 \) centimetres?,\( 0.007 \),Multiplies when converting to a larger unit,\( 0.07 \),1651
Add proper fractions with the same denominator,Adding and Subtracting Fractions,"Work out:
\(
\frac{3}{10}+\frac{5}{10}
\)
Write your answer in its simplest form.",\( \frac{8}{20} \),"When adding fractions, adds the numerators and denominators",\( \frac{4}{5} \),217
Recognise the vertically opposite angles relationship,"Basic Angle Facts (straight line, opposite, around a point, etc)","What is the size of angle \( x \) ? ![Angles around a point split into two parts, one is labelled 130 degrees and the other x]()",\( 130^{\circ} \),Student thinks that any two angles along a straight line are equal,\( 230^{\circ} \),8
Solve quadratic equations using the quadratic formula where the coefficient of x² is 1 ,Quadratic Equations,"Vera wants to solve this equation using the quadratic formula.
\(
h^{2}+4=5 h
\)

What should replace the star? \( \frac{ \bigstar\pm \sqrt{?-?}}{?} \)",\( 0 \),Believes the solution of mx + c = a is x =a,\( 5 \),337
"Given a negative x value, find the corresponding y value for curves in the form y = x² + c",Plotting Quadratics from Tables of Values,"This is a part of the table of values for the equation \( y=x^{2}+4 \) \begin{tabular}{|c|c|}
\hline\( x \) & \( -3 \) \\
\hline\( y \) & \( \bigstar \) \\
\hline
\end{tabular} What should replace the star?",\( -5 \),Believes the square of a negative will also be negative,\( 13 \),82
